id,name,street,stars,latitude,longitude,imageUrl,locationId
18,Albergo Vara,Via Vara Inferiore,3,44.4656975,8.6080322,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,7867
19,Pensione Sciatori,"Località Alberola, 8",2,44.46859,8.5593045,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6965
20,Albergo Monte Beigua,"Via Monte Beigua, 19",3,44.4326017,8.5637715,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,7867
21,Hotel Argentina,"Via Paraggi a monte, 56",3,44.311245,9.2086212,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6878
22,Il Poggio di Marò,"Regione Poggio, 10",2,43.922287,7.8455684,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,449
23,La Betulla,,2,44.4572357,8.550863,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,7867
24,Rifugio Albergo Monte Cucco,,3,44.467471,8.5560927,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,7867
25,La Riserva di Castel d'Appio,,3,43.7995697,7.5799408,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,8086
26,Agriturismo Lorenzo Turco,,2,44.2938631,8.406593,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5836
27,Agriturismo Agriotto,,2,44.3012352,8.4384586,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5836
28,Agriturismo Çele,"Via Sanda, 30",2,44.3496698,8.5400808,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,1952
29,Hotel Nella,,3,44.1247673,9.7877967,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3502
30,Villa Fieschi,,3,44.3120188,9.3469506,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3594
31,Agriturismo Le Sorgenti,,2,44.415552,8.3764056,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3252
32,Agriturismo Cascina Palazzo,,2,44.4599063,8.2907664,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2569
33,Agriturismo A Canonica,,2,44.0333725,8.0626728,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,1548
34,Agriturismo il Castagno,,2,44.0789364,7.8030672,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4089
35,Starhotels President,,4,44.4048816,8.9484129,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
36,NH Genova Centro,,4,44.4108474,8.938075,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
37,Novotel Genova Ovest,"Via Antonio Cantore, 8",4,44.4104669,8.9026436,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
38,"Grand Hotel Savoia Genova, Curio Collection by Hilton","Via Arsenale di Terra, 5",5,44.41698,8.9230123,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
39,Tower Genova airport,"Via Pionieri ed Aviatori d'Italia, 44",4,44.4168772,8.8536501,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
40,Hotel Astoria,"Piazza Brignole, 4",3,44.4091991,8.9435457,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
41,BEST WESTERN City Hotel,"Via San Sebastiano, 6",4,44.4092881,8.9354674,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
42,Mini Hotel,,2,44.4125336,8.9292802,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
43,Helvetia,,3,44.4134715,8.9286938,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
44,NH Collection Genova Marina,"Molo Ponte Calvi, 5",4,44.4111059,8.926761,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
45,Best Western Hotel Moderno Verdi,,4,44.4069568,8.945353,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
46,Agnello D'Oro,,3,44.4158448,8.9237289,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
47,Comfort Hotel Europa,"Vico delle Monachette, 8",3,44.4160586,8.9236753,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
48,Hotel Meliã,"Via Corsica, 4",5,44.4017491,8.9381435,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
49,Capitolo Riviera,"Viale delle Palme, 16",5,44.382676,9.0397882,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
50,Hotel No Logo,,2,44.4072753,8.9424907,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
51,Hermitage,,3,44.3979976,8.9567712,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
52,Hotel Veronese,"Vico Cicala, 3",3,44.4110046,8.9289986,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
53,Galles,,3,44.415905,8.9203793,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
54,Hotel Galata,,3,44.4159674,8.9211936,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
55,La Capannina,,3,44.3910553,8.9729554,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
56,Albergo Caffaro,,1,44.4119565,8.9347546,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
57,Hotel Acquaverde,,2,44.4163486,8.9239221,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
58,Ostello per la Gioventù Genova,"Passo Costanzi, 10",2,44.4280143,8.9293124,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
59,Hotel Boccascena,"Via Carlo Barabino, 62 rosso",3,44.3999372,8.9490435,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
60,Hotel Ricci,Piazza Colombo,2,44.4060454,8.9431537,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
61,Alexander,,3,44.4159663,8.9201904,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
62,Hotel Chopin,,1,44.4159133,8.9216212,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
63,Hotel Colombo,"Via di Porta Soprana, 27",3,44.4058805,8.9338877,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
64,Hotel Nettuno Lido,,1,44.3912331,8.9722172,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
65,Hotel Rex,,2,44.3918894,8.9728438,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
66,Vittoria,,3,44.4168023,8.9237504,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
67,Ginevra,,1,44.415656,8.9252765,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
68,Brignole,"Vico del Corallo, 13r",3,44.4070347,8.9447123,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
69,Hotel Modena,,2,44.4117315,8.8903881,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
70,Primavera,,1,44.4115326,8.8878605,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
71,Bel Sito,,2,44.3820031,9.0472192,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,756
72,Hotel Stella,,3,44.1118067,9.9590784,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6962
73,La Camogliese,,3,44.3479455,9.1556345,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,1201
74,Iris,,3,44.3890059,8.9976958,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
75,Acquario,,3,44.4118023,8.9293783,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
76,Hotel Major,,1,44.4101358,8.9343435,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
77,Bel Soggiorno,,2,44.4059486,8.9407692,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
78,Hotel Astro,"Via Venti Settembre, 3/21",1,44.4050563,8.9435689,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
79,Bruxelles Margherita,"Via Venti Settembre, 19",3,44.4057447,8.9408779,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
80,Hotel Fiume,"Via Fiume, 9r",2,44.4058792,8.9448061,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
81,Novecento,"Via Gropallo, 4",2,44.4098309,8.9438473,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
82,Hotel Olympia,,2,44.4058257,8.9403857,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
83,Hotel Laurens,"Via Giordano Bruno, 7",3,44.3912887,8.9701247,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
84,Hotel Tirreno,Via dei Mille,3,44.3932666,8.9831749,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
85,Hotel Genova Liberty,"Via Venti Settembre, 23",2,44.4060782,8.9400238,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
86,Bologna,,1,44.4141445,8.9266848,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
87,Nuovo nord,,2,44.4161831,8.9241967,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
88,Elena,,1,44.4155806,8.9253741,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
89,Hotel Assarotti,,2,44.4123135,8.9430852,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
90,Tommaseo,"Via Monte Suello, 18/4",1,44.4017657,8.9532507,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
91,Hotel Bar Armonia,,2,44.4137727,8.9262922,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
92,Hotel Villa Bonera,,2,44.3841136,9.0346445,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,756
93,Della Posta,,2,44.4157,8.9246766,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
94,Best Western Metropoli,,3,44.4100064,8.935048,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
95,Barone,,1,44.4047042,8.9439362,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
96,Hotel Balbi Genova,"Via Balbi, 21",2,44.4159224,8.9246399,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
97,Principe,,3,44.4161454,8.9202416,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
98,Bar Hotel Serafino,,2,44.4146954,8.8692772,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
99,Massena,,1,44.4165866,8.8761204,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
100,Fiorita,"Via San Pier d'Arena, 59",1,44.4095151,8.8915512,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
101,Euro,Via San Pier d'Arena,1,44.408869,8.8944571,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
102,BEST WESTERN Hotel Porto Antico,,3,44.4117977,8.9287126,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
103,Hotel Splendid,,3,43.9175652,8.0917205,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2591
104,Hotel Diano Marina,"Via Generale Ardoino, 75",3,43.9130957,8.08692,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2591
105,Hotel Italia e Lido,,3,44.3482508,9.2343693,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
106,Ostello Cinque Terre,"Via Bernardo Riccobaldi, 25",2,44.1078397,9.7304458,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5980
107,Le 3 Stazioni,"Via San Benedetto, 25",2,44.4157089,8.9156389,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
108,Il giardino di Albaro,"Via Oreste De Gaspari, 19",3,44.3927895,8.9713507,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
109,Hotel Fieramare,,1,44.4004939,8.9497033,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
110,Hotel Arcobaleno,,1,44.4004258,8.9496843,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
111,Porto Roca,"Via Corone, 1",4,44.1449093,9.6584526,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4562
112,POGGIO del SALICE,,2,44.1933239,9.5711153,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,799
113,Hotel Rio,,3,44.3608778,8.5856289,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,8020
114,Hotel Azzurro,,3,44.3608487,8.5852153,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,8020
115,San Giuseppe,Via Giovanni Andrea Silla,3,44.1707136,8.3422697,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2817
116,La Vela,,3,44.3381864,9.2069931,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6878
117,CDH La Spezia,"Via Venti Settembre, 81",4,44.1054573,9.8209826,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3502
118,Hotel Tigullio et de Milan,"Viale Elia Rainusso, 3",3,44.3360491,9.2110254,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6878
119,Azienda Agrituristica Ü Pin,,2,44.3067392,9.2053889,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5688
120,Bar Albergo Americano,,2,44.5259144,9.3862623,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5942
121,Hotel Rossini al Teatro,,3,43.8902547,8.0403847,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3421
122,Hotel Kristina,,3,43.8879805,8.0468386,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3421
123,Il Giardino degli Angeli,,2,44.2240316,9.5698505,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2961
124,Albergo Ristorante La Baita,,2,44.5457142,9.4525757,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6917
125,Holiday Inn,"Via Milano, 47",4,44.4115908,8.9082745,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
126,Cioi Longhi,,3,44.0664681,7.8166137,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4507
127,Albergo Ristorante Lago delle Lame,,1,44.5032697,9.4084975,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5942
128,Albergo Ristorante La Pineta,,1,44.5165954,9.4036905,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5942
129,Azienda Agrituristica Pietre Turchine,,2,44.4265237,8.7225557,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4068
130,Hotel Serenval,"Via Lido, 5",3,44.172149,8.356795,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2817
131,Hotel Lucia,,1,44.4159682,8.9209073,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
132,Albergo Parigi,,1,44.4155889,8.9226444,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
133,Albergo Rinascente,,1,44.4155013,8.9233377,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
134,Lausanne,,1,44.4167714,8.923941,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
135,Hotel Sud Est,"Via Gaetano Previati, 200",3,44.3108025,9.3363084,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3594
136,Lord Nelson,"Corso Valparaiso, 27",3,44.3174262,9.3149515,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2099
137,Suite 1906 Appartamenti,"Via Mira, 7",2,44.4046777,8.9492648,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
138,Oasi Hotel,Via Terraro,3,44.1704512,9.6148282,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3649
139,Hotel La Giada del Mesco,,3,44.1579777,9.6110656,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3649
140,Maremesco,"Via vecchia Mesco, 10",2,44.1621754,9.6107774,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3649
141,Hotel Monterosso Alto,,3,44.163025,9.6489999,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4562
142,guest_house 551586971,,2,44.1600424,9.6640787,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4562
143,Locanda di Palazzo Cicala,"Piazza di San Lorenzo, 16",4,44.4081634,8.930681,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
144,Albergo Vittoria,,1,44.4037937,8.6831361,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,326
145,Hotel Serena,,1,44.4033751,8.6854836,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,326
146,Ena Hotel,,3,44.4054335,8.6873365,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,326
147,Hotel della Posta 1906,"Via Giacomo Matteotti, 39",2,44.520333,9.158776,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,7677
148,Villa Sara,,3,43.9497029,8.144116,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,240
149,Actor Hotel,,3,44.4123615,8.9394543,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3131
150,Hotel Ghironi,"Via del Tino, 62",4,44.1131851,9.8476329,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3502
151,Hotel Elena,"Corso Anita Garibaldi, 5",2,44.3614476,9.1396851,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5895
152,Hotel Villa Flora,"Via Aurelia, 5",2,44.3803039,9.0604489,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,756
153,Hotel Ristorante Bar Turchino,,3,44.5190604,8.7001603,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4011
154,Laurin,,4,44.3321485,9.2138856,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6878
155,Albergo Villa Maroso,,2,44.3494681,9.2263566,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
156,Hotel Miramare,,3,44.3489064,9.2314843,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
157,Ristorante Bar Albergo Vittoria,,3,44.57472,8.9432705,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,1051
158,Eight Hotel Portofino,"Via del Fondaco, 11",5,44.3049211,9.2063008,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5688
159,Hotel Splendido Mare,,3,44.3034139,9.2089639,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5688
160,Hotel Splendido,,5,44.3063022,9.2104334,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5688
161,Europa,,3,43.8336387,7.8548427,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,7425
162,Park Hotel Castello,"Via Generale Enrico Caviglia, 26",3,44.1715078,8.350184,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2817
163,Hotel Stella,"Via Aurelia Ponente, 6",3,44.3479608,9.2262975,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
164,Hotel Ambra,,2,44.3491005,9.2276832,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
165,Hotel Mignon Posta,,2,44.348818,9.2273529,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
166,Hotel Villa Luisa,,2,44.3483637,9.2254633,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
167,Hotel Claridge,"Via Monsignor Cesare Boccoleri, 12",2,44.3486583,9.2271258,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
168,Hotel Giulio Cesare,,3,44.3457127,9.228132,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
169,Albergo Astor,,1,44.3497688,9.2259076,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
170,Hotel Riviera,"Piazza Quattro Novembre, 2",3,44.3484281,9.2290306,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,5869
