name,street,stars,latitude,longitude,imageUrl,locationId
Hotel Fiorenza & Banksia,Via Privata Guglielmo Marconi,0,44.0100606,8.1753924,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Garden,Via Ignazio Dell'Oro 15,3,43.9996819,8.163108,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Garden,Via Ignazio Dell'Oro 13,3,43.9998906,8.163291,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Lido,Via Quattro Novembre 9,0,44.0113983,8.1781101,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
hotel regina,Alassio,0,44.014198,8.1824993,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Riva,Corso Europa 64,4,44.0001989,8.1661628,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
La Balnearia,Alassio,0,44.0037561,8.1708259,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Lamberti,Via Gramsci 57,0,44.0105009,8.1774855,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Milano,Alassio,0,44.0029863,8.170512,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Residence Marina,Alassio,0,43.9986006,8.1647106,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Residence Solemare,Alassio,3,44.0148365,8.1834689,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Rodi Residence,Alassio,0,44.0118606,8.1776295,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Savoia,Via Gramsci,0,44.0104463,8.1779215,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Tirreno,Alassio,3,44.0124763,8.1798096,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Villa della Pergola,Alassio,0,44.0114241,8.1723864,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Albium,Albenga,0,44.0469213,8.2260708,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
Alla Mal Parata,Albenga,0,44.0584441,8.1796805,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
Casa Leuca,Via al Piemonte 205,0,44.0618363,8.1804756,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
Hotel Marisa,Albenga,0,44.0462442,8.2248087,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
La dimora del Conte Bracco B.,Piazza San Francesco 39,0,44.0490316,8.2142285,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
La Gallina nel Castello,Via Vicinale Vecchia per Peagna 1,0,44.0909654,8.2036927,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
Sole Mare,Lungomare Cristoforo Colombo 14,3,44.0453757,8.2257132,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
Torino,Viale Italia 23,0,44.0470355,8.2226367,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
VentoVerde B&B,Albenga,0,44.0416995,8.2086234,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,113
A cà du Grillu,Via Francesco Maria Della Rovere 12,0,44.33843,8.5092318,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
A me cà - Bed & Breakfast,Albisola Superiore,0,44.3316029,8.5127075,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
Agriturismo Villa Poggi,Albisola Superiore,0,44.3546041,8.5119769,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
Antica Dimora Rooms,Via Francesco Maria Della Rovere 13,2,44.338385,8.509273,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
B&B Cascina Roberto,Località Magrania,0,44.3663361,8.4818688,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
Blue Fish,Corso Filippo Ferrari 152,2,44.3308822,8.515156,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
Casa di Ospitalità Madre Odolinda,Via Cristoforo Colombo 30,0,44.3297571,8.5132301,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
Park Hotel,Via Alba Docilia 2,2,44.3328171,8.5183539,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
San Giorgio,Corso Giuseppe Mazzini 24,3,44.3355956,8.5099619,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,128
Belvedere,Albissola Marina,0,44.3250428,8.4946964,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,129
Hotel Acqua Marina,Albissola Marina,0,44.326147,8.5001224,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,129
Hotel Europa,Viale Liguria 24,3,44.3288268,8.5051848,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,129
Hotel Onda Azzura,Albissola Marina,1,44.3297326,8.5123336,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,129
Nuovo Metropol,Via Filippo Gentile 1,1,44.3256176,8.4996297,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,129
Ostello Le Stuoie,Via Italia 49,0,44.3277539,8.5036984,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,129
Palazzo K B&B,Altare,0,44.3560163,8.3480249,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,182
Ala Bianca,Ameglia,3,44.0786316,9.962887,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
Albergo La Maria,Via Ratti 39,0,44.0515673,9.9879894,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
B&B Al Cavalluccio Marino,Via Borea 41,0,44.0483397,9.9522694,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
Da Sonia,Ameglia,0,44.0546367,9.9482979,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
Golfo dei Poeti Relais,Ameglia,0,44.0423621,9.9635096,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
Hostel Ameglia;Hostel,Via Circonvallazione 3,0,44.066261,9.9580035,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
Hotel Sette Archi,Via C. A. Fabbricotti 242,0,44.0469166,9.984723,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
River Park Hotel,Ameglia,4,44.0546652,9.9848666,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,217
Floridida Bed & Breakfast,Via Caffaro 3,0,43.9535669,8.1512123,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Galleano,Andora,0,43.9486979,8.140122,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Garden,Via Aurelia 60,0,43.9522609,8.1542047,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Hotel Nello,Andora,0,43.9520775,8.1500269,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Jole,Via Marco Polo 16,0,43.9523588,8.1476002,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Lungomare,Via Capri 10,0,43.9472699,8.1397195,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Moresco,Via Aurelia 96,0,43.9517594,8.1516632,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Residence Amici,Via Aurelia 130,3,43.9509342,8.1486679,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Residence La Palma,Andora,0,43.9533847,8.1508597,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
San Francisco R.T.A.,Via Cavour,0,43.9533267,8.1411558,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Trieste,Andora,0,43.9460159,8.1381621,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Villa Sara,Andora,0,43.9497029,8.144116,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,240
Agriturismo Terre Del Mistero,Apricale,0,43.9051663,7.6820409,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,288
Albergo diffuso Munta e cara,Piazza Vittorio Veneto 2,0,43.8801561,7.6622012,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,288
Locanda Dei Carugi,Via Roma 12,0,43.8803014,7.6604548,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,288
Albergo Ristorante Al Sole,Aquila d'Arroscia,0,44.0857911,8.0168064,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,293
B&B Da Giusè,Arcola,0,44.1020508,9.9221805,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,313
Casa dei Noni et Francesca,Arcola,0,44.1028746,9.9225916,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,313
Malu',Arcola,0,44.1102422,9.9292006,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,313
Pietrantica,Via Sottocastello 7,0,44.1024457,9.9219142,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,313
Affittacamere Il Guscio,Arenzano,0,44.4052459,8.6783552,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Affittacamere Tanin,Arenzano,0,44.4052593,8.6869368,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Agriturismo Verde Gioia,Arenzano,0,44.4103061,8.6787033,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Albergo Vittoria,Arenzano,1,44.4037937,8.6831361,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
B&B Arcobaleno,Arenzano,0,44.4070098,8.685232,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
B&B La Sosta,Arenzano,0,44.4057327,8.6785087,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
B&B Verde sul Mare,Via dell'Erica 23,0,44.3954811,8.6752422,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Ena Hotel,Arenzano,3,44.4054335,8.6873365,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Grand Hotel Arenzano,Lungomare Stati Uniti 2,4,44.4018096,8.6851031,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Hotel Albatros,Arenzano,2,44.4041576,8.6857376,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Hotel Eden,Arenzano,2,44.4060977,8.6837546,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Hotel Punta San Martino,Arenzano,4,44.3977653,8.6855807,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Hotel Riviera,Arenzano,3,44.4028771,8.6853226,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Hotel Serena,Arenzano,1,44.4033751,8.6854836,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Le giuanne,Arenzano,0,44.4209993,8.6891353,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Piccolo Hotel,Via Trieste 2,0,44.4058249,8.6847352,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Poggio Hotel,Arenzano,4,44.4013109,8.6710534,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Ulivi,Arenzano,3,44.4053087,8.6860868,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,326
Albergo Collina,Arnasco,0,44.0775257,8.1057084,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,352
Albergo Ristorante Lagoscuro,Avegno,2,44.3827536,9.1593572,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,419
B&B Passo Selvatico,Avegno,1,44.3920958,9.1656688,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,419
Cantina Sisters,Avegno,2,44.3752399,9.1533608,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,419
I Glicini,Avegno,0,44.383461,9.1750818,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,419
Quincas,Via Colle degli ulivi 9,0,44.3823846,9.1516146,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,419
Agriturismo L'Adagio,Regione Roglietto 15,0,43.9136531,7.8470897,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,449
Ca' du Russu,Strada Provinciale 548 della Valle Argentina 6,0,43.9283362,7.8411512,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,449
Casa del Ghirosveglio,Via Roma 56,0,43.9035199,7.7213108,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,486
Albergo Cecchin,Via Provinciale 1,0,44.1244198,8.1725063,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,493
Maria Nella,Bardineto,0,44.192676,8.1283363,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,531
Monte Carmo,Bardineto,0,44.1906702,8.1353643,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,531
Casa Bea B&B,Bargagli,0,44.4502886,9.1004702,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,539
Tripoli,Bargagli,0,44.4260518,9.0648954,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,539
Acqua Novella,Bergeggi,0,44.2367179,8.4324001,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,669
Hotel Oro Verde,Bergeggi,3,44.2442699,8.4352896,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,669
Hotel Sea Art,Bergeggi,0,44.2615744,8.4470052,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,669
Residance Borgo San Sebastiano,Bergeggi,0,44.2541536,8.4478553,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,669
Agriturismo Sant'Ilario,Bogliasco,0,44.3876165,9.0499895,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,756
Bel Sito,Bogliasco,2,44.3820031,9.0472192,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,756
Hotel Villa Bonera,Bogliasco,2,44.3841136,9.0346445,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,756
Hotel Villa Flora,Via Aurelia 5,2,44.3803039,9.0604489,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,756
Romantik Pagoda,Bogliasco,4,44.3808545,9.0492401,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,756
Ca Da Franca,Via Tricolore d'Italia,0,44.1346421,8.2198593,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,759
Casa vacanze Villa Cristina,Via delle Ginestre 55,0,44.1357898,8.2296086,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,759
La quiete,Via Cavi 7,0,44.1342177,8.2187598,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,759
Peter Pan,Via Coste Rosse 8,0,44.1371859,8.2288401,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,759
Agriturismo Le Lagore,Bonassola,0,44.1749642,9.5970429,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Ca' du ferrà,Bonassola,0,44.1863066,9.5833437,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Casa Rossola,Bonassola,0,44.1925379,9.5970994,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Curpi de Ma,Bonassola,0,44.1841725,9.5834037,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
da Carla,Bonassola,0,44.1857099,9.583112,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Hotel delle Rose,Bonassola,0,44.1832379,9.5831169,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Hotel Feluca,Bonassola,3,44.182136,9.584098,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Hotel Villa Belvedere,Bonassola,0,44.1817937,9.5865453,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
La Rossola,Bonassola,0,44.1968715,9.6001968,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Locanda Sabbia d'Oro,Bonassola,0,44.1834725,9.5836602,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Lungomare,Bonassola,0,44.1836962,9.5819672,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Pensione Moderna,Bonassola,0,44.1850706,9.5814934,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
POGGIO del SALICE,Bonassola,0,44.1933239,9.5711153,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Rita,Bonassola,0,44.184052,9.579696,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,799
Albergo Aurora,Via Pelloux 42/b,3,43.7822215,7.6670054,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Astoria,Bordighera,3,43.7838446,7.6654786,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Bed & Breakfast Casa del Sole,Via Madonna della Ruota 41,0,43.7931717,7.6926013,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Casa Albertieri,Via Circonvallazione 2,0,43.780625,7.6722221,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Centro,Piazza Eroi della Libertà 10,3,43.7788637,7.6636551,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Elandra,Via Vittorio Emanuele II 61,0,43.7783069,7.6669649,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Gold Hotel,Via Cesare Balbo 7,0,43.7806001,7.659813,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Grand Hotel del Mare,Bordighera,5,43.7864379,7.6863668,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Hotel Della Punta,Via Sant'Ampelio 27,3,43.7773295,7.6724916,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Hotel Parigi,Via Sant'Ampelio 19,0,43.7772457,7.6710898,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Le Gardenie da Fil,Via Coggiola 49,0,43.7889029,7.6609091,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Londra,Bordighera,0,43.7830804,7.6653137,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Lora,Via dei Bagni 1,3,43.7849544,7.6809264,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Lucciola,Via Regina Margherita 49,3,43.7811875,7.6678109,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Piccolo Lido,Lungomare Argentina 2,3,43.7770799,7.672572,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Regina Margherita,Via Regina Margherita 34,0,43.7797842,7.6673646,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Residence dei Fiori,Via Arziglia 40,2,43.7837586,7.6785184,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Rosalia,Via Vittorio Emanuele II 429,0,43.7806118,7.6569329,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Verdemare,Via Pelloux 36,0,43.7820931,7.6665244,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Villa Caterina,Corso Italia 112,0,43.7816793,7.6657052,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Villa Elisa,Via Romana 70,3,43.7841031,7.6617134,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Villa Miki,Via Lagazzi 14,0,43.781008,7.6592798,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Villa Sorriso,Via Cesare Augusto 25,0,43.7869429,7.652455,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Villa Virginia,Via Romana 55,0,43.783006,7.6656643,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,817
Hotel Belvedere,Borghetto di Vara,0,44.2229492,9.7220579,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,826
Hotel Sonno d'autore,Via Ronchetto 14,3,44.2263158,9.7191732,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,826
Casa Ia,Borghetto Santo Spirito,0,44.1107176,8.2406989,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,828
Hotel vVlla Danci,Borghetto Santo Spirito,0,44.1101062,8.2420143,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,828
Residence Casa Vacanze Elisabetta,Borghetto Santo Spirito,0,44.1076849,8.2407749,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,828
A Carubba du Bungiurnu,Via Acquedotto 3,0,44.1611974,8.3030233,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,832
