id,name,location_id,latitude,longitude
900059,Cassano D`Adda,1600,45.514372,9.512746
900060,Casteggio,1627,45.017365,9.124595
900061,Abbadia Lariana,3,45.895864,9.335175
900062,Abbiategrasso,7,45.400631,8.921305
900063,Acquanegra Cremonese,28,45.172102,9.888456
900064,Airuno,89,45.754086,9.422066
900065,Albate Camerlata,3306,45.777371,9.073461
900066,Albate-Trecallo,7093,45.777391,9.095752
900067,Albizzate Solbiate Arno,130,45.724117,8.80621
900068,Albuzzano,134,45.172504,9.261624
900069,Ambivere Mapello,215,45.722163,9.550444
900070,Anzano Del Parco,272,45.764965,9.202676
900071,Arcisate,311,45.858579,8.86241
900072,Arcore,316,45.623493,9.322798
900073,Gambolo`Remondo`,2002,45.23587,8.79757
900074,Sangiano,6764,45.874464,8.630769
900075,Sartirana,6960,45.111728,8.67012
900076,Montirone,4603,45.451352,10.239482
900077,Monza,4620,45.577789,9.273253
900078,Monza Sobborghi,4620,45.582082,9.284375
900079,Morbegno,4628,46.136663,9.568646
900080,Morengo Bariano,554,45.521639,9.703114
900081,Mornago Cimbro,4651,45.729742,8.734193
900082,Mortara,4665,45.252171,8.731639
900083,Motteggiana,4687,45.029685,10.755439
900084,Buttafava,8326,45.62141,9.301185
900085,Calcio,1130,45.532937,9.841342
900086,Calde`,1811,45.945812,8.663157
900087,Calolziocorte Olginate,1150,45.801619,9.42698
900088,Calusco,1161,45.684113,9.470646
900089,Calvisano,1175,45.346572,10.349411
900090,Pavia Porta Garibaldi,5231,45.183996,9.167331
900091,Remedello Sopra,5926,45.27848,10.379211
900092,Remedello Sotto,1529,45.257477,10.388402
900093,Revere,839,45.049863,11.130884
900094,Revere Scalo,839,45.040431,11.129847
900095,Rho,5945,45.523813,9.043563
900096,Robecco-Pontevico,6032,45.266224,10.078593
900097,Gonzaga-Reggiolo,3271,44.939239,10.815533
900098,Gropello Cairoli,3349,45.173101,8.991626
900099,Grumello Del Monte,3369,45.634102,9.862767
900100,Induno Olona,3426,45.846432,8.838357
900101,Ispra,3471,45.811573,8.621338
900102,Lambrinia,4955,45.164376,9.527436
900103,Laveno Mombello,3599,45.903272,8.624583
900104,Lecco,3607,45.856471,9.393638
900105,Lecco Maggianico,5325,45.831179,9.411691
900106,Leggiuno Monvalle,6764,45.867349,8.629476
900107,Legnano,3612,45.593653,8.910638
900108,Bagnolo Mella,476,45.428532,10.183617
900109,Bellano Tartavelle Terme,617,46.039448,9.302776
900110,S.Stefano Lodigiano,6925,45.122091,9.723606
900111,S. Zeno Folzano,6754,45.491552,10.211683
900112,S. Zenone Al Lambro,6755,45.337824,9.36126
900113,Sairano Zinasco,8440,45.133795,9.030153
900114,Sala Al Barro-Galbiate,3048,45.821086,9.359223
900115,Samolaco,6411,46.246436,9.423582
900116,Cologne,2303,45.576627,9.935316
900117,Como S. Giovanni,2331,45.808946,9.072331
900118,Secugnago,7052,45.223253,9.58684
900119,Seregno,7102,45.64601,9.20285
900120,Seriate,7105,45.683145,9.724628
900121,Sesto Calende,7152,45.726241,8.628135
900122,Sesto S. Giovanni,7156,45.541087,9.23926
900123,Somma Lombardo,7258,45.686423,8.712991
900124,Sondrio,7268,46.167064,9.872928
900125,Soresina,7281,45.283083,9.85664
900126,Stradella,7380,45.079465,9.300865
900127,Suzzara,7422,44.994432,10.756138
900128,Taino Angera,7430,45.772269,8.60599
900129,Talamona,7433,46.13952,9.599528
900130,Ternate Varano Borghi,8017,45.781835,8.700371
900131,Terno,7500,45.688658,9.536169
900132,Ferrera Lomellina,2780,45.111807,8.862805
900133,Fiumelatte,8023,45.999017,9.292857
900134,Parabiago,5179,45.552441,8.946319
900135,Parona Lomellina,5198,45.280107,8.780315
900136,Pavia,5231,45.188843,9.144674
900137,Milano Centrale,4188,45.486347,9.204528
900138,Milano Romolo,4188,45.445008,9.168933
900139,Seveso,7174,45.648187,9.140488
900140,Saronno,6955,45.625309,9.030839
900141,Mariano Comense,3950,45.693622,9.18147
900142,Asso,395,45.855228,9.268513
900143,Cozzo,2474,45.182989,8.603292
900144,Cremona,2490,45.143215,10.017951
900145,Cucciago,2519,45.740813,9.082205
900146,Delebio,2571,46.13865,9.461168
900147,Desenzano,2584,45.462677,10.536322
900148,Dorio,2625,46.102756,9.319063
900149,Oggiono,4886,45.788993,9.33748
900150,Olcio,3893,45.938011,9.313898
900151,Olevano,4894,45.212119,8.71182
900152,Olgiate-Calco-Brivio,4898,45.729166,9.40377
900153,Olmeneta,4914,45.231099,10.03194
900154,Orio Litta,4955,45.166778,9.550592
900155,Osnago,5003,45.678532,9.386995
900156,Ospedaletto Lodigiano,5009,45.16933,9.575164
900157,Ospitaletto Mantovano,1759,45.129748,10.604406
900158,Ostiglia,5020,45.072228,11.141059
900159,Paderno Robbiate,5052,45.678307,9.439202
900160,Palazzolo Sull`Oglio,5111,45.601486,9.896235
900161,Palestro,5141,45.307274,8.534511
900162,Palidano,7422,44.972228,10.777412
900163,Torre De` Picenardi,7641,45.137198,10.286849
900164,Torreberetti,7631,45.060533,8.660431
900165,Travedona Biandronno,529,45.809601,8.696322
900166,Trecella,5725,45.512792,9.480674
900167,Treviglio,7756,45.515063,9.587919
900168,Treviglio Ovest,7756,45.521762,9.580281
900169,Triuggio-Ponte Albiate,122,45.658956,9.266961
900170,Tromello,7824,45.211988,8.872154
900171,Valle Lomellina,7960,45.150588,8.685874
900172,Lesmo,3640,45.644745,9.309318
900173,Lierna,3662,45.960973,9.303071
900174,Lissone-Muggio`,3685,45.60592,9.235368
900175,Locate Triulzi,3707,45.35973,9.221398
900176,Rogolo,6136,46.138696,9.486985
900177,Romano,6222,45.523839,9.753402
900178,Romanore,4687,45.063834,10.750997
900179,Rovato,6287,45.55193,10.000924
900180,Roverbella,6291,45.252645,10.796795
900181,S.Antonio Mantovano,5677,45.187447,10.785806
900182,S. Cristina E Bissone,6856,45.160533,9.401006
900183,Pieve Albignola,5444,45.116248,8.959723
900184,Piona,2259,46.124696,9.350759
900185,Pizzighettone,5519,45.181772,9.777133
900186,Besana,684,45.702824,9.28288
900187,Besnate,689,45.695409,8.761072
900188,Bianzone,705,46.179383,10.112507
900189,Biassono-Lesmo Parco,3640,45.632209,9.298408
900190,Miradolo Terme,4249,45.162007,9.449952
900191,Mantova Frassine,6516,45.150491,10.831007
900192,Moiana,4110,45.787082,9.255607
900193,Molteno,4302,45.780939,9.301683
900194,Montello Gorlago,4522,45.67017,9.808488
900195,Pontida,5644,45.730084,9.511632
900196,Porto Ceresio,5674,45.903675,8.900357
900197,Porto Valtravaglia,5683,45.958219,8.674141
900198,Tavazzano,7459,45.32629,9.402748
900199,Gallarate,3051,45.659828,8.798243
900200,Garlasco,3095,45.198948,8.926829
900201,Gazzo Pieve S. Giacomo,5458,45.137151,10.189922
900202,Albano S.Alessandro,106,45.682744,9.768027
900203,Albonese,131,45.297785,8.714601
900204,S. Giacomo Di Teglio,1752,46.159722,10.027405
900205,S. Giovanni In Croce,6542,45.075783,10.377527
900206,S.Giuletta,6868,45.035719,9.179239
900207,S. Giuliano Milanese,6557,45.391226,9.286418
900208,S.Michele In Bosco,3928,45.122404,10.57329
900209,Poggio Rusco,5549,44.981859,11.124627
900210,Belgioioso,613,45.16456,9.316875
900211,Besozzo,690,45.842188,8.662997
900212,Motta S. Damiano,7961,45.178344,9.219866
900213,Nicorvo,4786,45.275462,8.6712
900214,Novate-Mezzola,4837,46.216595,9.446573
900215,Piadena,5370,45.127608,10.369962
900216,Pinarolo Po,5474,45.073415,9.170273
900217,Pioltello Limito,5487,45.486019,9.329319
900218,Corteolona,2431,45.159701,9.375477
900219,Costa Masnaga,2457,45.76343,9.285231
900220,Crema,2484,45.366864,9.694209
900221,Dervio,2582,46.077709,9.30596
900222,Desio,2585,45.620112,9.218495
900223,Varenna Esino,8023,46.015,9.286405
900224,Varese,8024,45.816201,8.833089
900225,Vercurago S.Girolamo,8101,45.812122,9.422349
900226,Verdello Dalmine,8102,45.605715,9.619797
900227,Vergiate,8108,45.717119,8.693187
900228,Verolanuova,8117,45.324989,10.08388
900229,Viadana Bresciana,1175,45.373648,10.331792
900230,Vidalengo,1394,45.517854,9.639676
900231,Vigevano,8203,45.312712,8.861977
900232,Vignate,8211,45.493946,9.374083
900233,Villa Di Tirano,8241,46.196164,10.13033
900234,Villa Raverio,684,45.690418,9.261549
900235,Lodi,3715,45.308966,9.497585
900236,Lonato,3730,45.457204,10.486714
900237,Luino,3777,45.996643,8.737464
900238,Lungavilla,3784,45.049837,9.068968
900239,Macherio-Canonica,3640,45.645533,9.286736
900240,Macherio Sovico,3818,45.642485,9.266895
900241,Maleo,3871,45.170118,9.755201
900242,Mandello Del Lario,3893,45.915208,9.322061
900243,Manerbio,3897,45.357212,10.132348
900244,Mantova,3908,45.158746,10.783165
900245,Marcaria,3928,45.124518,10.533651
900246,Mede,4053,45.095009,8.742594
900247,Melegnano,4069,45.356321,9.319271
900248,Melzo,4086,45.502191,9.420653
900249,Merone,4110,45.781374,9.243772
900250,Milano Certosa,4838,45.507019,9.133863
900251,Milano Greco Pirelli,7156,45.51272,9.214456
900252,Milano Lambrate,7156,45.484933,9.237333
900253,Milano Porta Garibaldi,4188,45.484917,9.187683
900254,Mi.P.Genova,4188,45.453379,9.169303
900255,Milano Porta Vittoria,4188,45.459579,9.21813
900256,Milano S. Cristoforo,2414,45.442404,9.130258
900257,Corsico,2414,45.434688,9.105156
900258,S. Cassiano Valchiavenna,6411,46.275438,9.397419
900259,Sannazzaro,6768,45.10554,8.905149
900260,Gaggiano,3030,45.408827,9.031117
900261,Lomello,3726,45.117276,8.799121
900262,Magenta,3832,45.468204,8.880633
900263,Verceia,8099,46.202832,9.458412
900264,Malpensa Aeroporto T1,8381,45.627904,8.711085
900265,Vanzago Pogliano,8011,45.525216,8.995531
900266,Milano Dateo,4188,45.462341,9.209277
900267,Bisuschio Viggiu,732,45.870658,8.887544
900268,Arcene,306,45.577162,9.606652
900269,Levate,3650,45.626856,9.629984
900270,Stezzano,7368,45.659219,9.645288
900271,Pozzuolo Martesana,5725,45.510567,9.459096
900272,Pregnana Milanese,5769,45.511868,9.003943
900273,Edolo,2657,46.179241,10.330333
900274,Iseo,3446,45.659518,10.047464
900275,Bornato - Calino,1926,45.590595,10.032942
900276,Regoledo,617,46.030574,9.292106
900277,Renate-Veduggio,5927,45.728304,9.279834
900278,Robbio,6030,45.293542,8.597051
900279,Milano Bovisa Fnm,4838,45.502993,9.159235
900280,Milano Lancetti,4188,45.492632,9.175832
900281,Milano Porta Romana,4188,45.445844,9.213128
900282,Milano Venezia,4188,45.471121,9.201889
900283,Tresenda-Aprica-Teglio,7472,46.162082,10.083754
900284,Trezzano S.N.,7764,45.422203,9.071196
900285,Valmadrera,7988,45.846439,9.368183
900286,Voghera,8388,44.9978,9.007942
900287,Sairano,8440,45.138858,9.046868
900288,Cantu`,1320,45.752316,9.130321
900289,Carate-Calo`,7814,45.676451,9.252304
900290,Segrate,7064,45.480702,9.298873
900291,Busto Arsizio,1064,45.616164,8.865031
900292,Camnago-Lentate,558,45.668425,9.133451
900293,Canegrate,1285,45.569235,8.926593
900294,Cava Manara,1893,45.144867,9.115332
900295,Mi P.Gar.Sott.,4188,45.484228,9.185122
900296,Milano Rogoredo,6478,45.433866,9.2391
900297,Dubino,2646,46.172802,9.432188
900298,Tirano,7544,46.21539,10.166961
900299,Paratico Sarnico,6952,45.662478,9.961417
900300,Capriolo,1379,45.64556,9.933806
900301,Barbianello,523,45.07263,9.204165
900302,Bergamo,659,45.690271,9.675082
900303,Ospitaletto Travagliato,5011,45.546042,10.074363
900304,S. Pietro Berbenno,653,46.161347,9.740491
900305,Villamaggiore,7223,45.32045,9.190674
900306,Villanova D`Ardenghi,8293,45.156982,9.037176
900307,Villasanta,8326,45.603434,9.304923
900308,Villetta Malagnino,3865,45.137019,10.111943
900309,Visano,8357,45.31531,10.363098
900310,Vittuone Arluno,8373,45.491054,8.947299
900311,Zinasco Nuovo,8440,45.124555,8.999657
900312,Madignano,3825,45.34383,9.730179
900313,Poggiridenti-Tresivio-Piateda,5560,46.166888,9.93382
900314,Ponte D`Adda,5519,45.184352,9.790737
900315,Ponte In Valtellina,5619,46.162631,9.975895
900316,Ponte S.Marco - Calcinato,1129,45.473788,10.409018
900317,Ponte S.Pietro,5625,45.69916,9.584322
900318,Sori,7284,44.369795,9.106006
900319,Taggia Arma,7425,43.840764,7.835604
900320,Varazze,8020,44.356842,8.566682
900321,Ventimiglia,8086,43.792561,7.610224
900322,Arcola,313,44.118651,9.914649
900323,Airole,88,43.870494,7.552757
900324,Alassio,97,44.007889,8.17112
900325,Albenga,113,44.04722,8.221663
900326,Bogliasco,756,44.379207,9.066042
900327,Bordighera,817,43.778313,7.663504
900328,Borghetto Santo Spirito,828,44.109006,8.242346
900329,Borgo Fornari Per Voltaggio,1051,44.588379,8.938295
900330,Busalla,1051,44.57558,8.943611
900331,Camogli San Fruttuoso,1201,44.348166,9.156743
900332,Campoligure Masone,1225,44.530909,8.700878
900333,Cavi,3594,44.29354,9.37251
900334,Celle,1952,44.34246,8.542626
900335,Ceriale,2003,44.098922,8.234216
900336,Cervo San Bartolomeo,2049,43.923901,8.109704
900337,Cogoleto,2251,44.389762,8.643906
900338,Corniglia,8114,44.119938,9.711051
900339,Deiva Marina,2570,44.217306,9.519022
900340,Finale Ligure Marina,2817,44.169116,8.34033
900341,Framura,2961,44.201903,9.555169
900342,Genova Acquasanta,4068,44.458757,8.773197
900343,Genova Bolzaneto,1978,44.459208,8.900193
900344,Genova Borzoli,3131,44.434704,8.866648
900345,Genova Granara,4068,44.442055,8.823453
900346,Genova Marittima S. Limbania,3131,44.412808,8.911098
900347,Genova Nervi,756,44.381271,9.039895
900348,Genova Pegli,4068,44.426236,8.816767
900349,Genova P.Principe,3131,44.417784,8.9207
900350,Genova Pontedecimo,1978,44.494189,8.905642
900351,Genova Quarto Dei Mille,3131,44.388607,8.99597
900352,Genova Rivarolo,3131,44.435955,8.89106
900353,Genova Sampierdarena,3131,44.413102,8.887271
900354,Genova Sturla,3131,44.397977,8.981466
900355,Genova Vesima,326,44.416176,8.714099
900356,Genova Voltri,4068,44.428467,8.758163
900357,Isola Del Cantone,3452,44.646589,8.957578
900358,La Spezia Centrale,3502,44.11141,9.813906
900359,Laigueglia,3536,43.981283,8.158685
900360,Lavagna,3594,44.305677,9.346371
900361,Levanto,3649,44.174167,9.616018
900362,Loano,3704,44.122429,8.254523
900363,Mele,4068,44.472797,8.733953
900364,Mignanego,4186,44.539031,8.929951
900365,Moneglia,4341,44.242449,9.486957
900366,Monterosso,4562,44.145967,9.649009
900367,Olivetta San Michele,4908,43.878345,7.535066
900368,Piano Orizzontale Dei Giovi,4186,44.530912,8.9192
900369,Pietrabissara,3452,44.658637,8.926969
900370,Pieve Ligure,5456,44.372644,9.090975
900371,S. Stefano Di Magra,6921,44.156857,9.915202
900372,Imperia,3421,43.88051,8.019182
900373,Genova Costa Di Sestri Ponente,1978,44.433535,8.84553
900374,Genova Quinto Al Mare,756,44.385184,9.020514
900375,Genova Via Di Francia,3131,44.411126,8.90192
900376,Bivio/Pc Arcola,1792,44.074771,10.015803
900377,Borgio Verezzi,832,44.157722,8.30908
900378,Genova P. Principe Sotterranea,3131,44.414803,8.918041
900379,Cairo Montenotte,1109,44.394747,8.278786
900380,Cengio,1966,44.390798,8.191824
900381,Albisola,128,44.33469,8.512092
900382,Savona Marittima,6992,44.308777,8.488243
900383,Spotorno Noli,7346,44.226528,8.410932
900384,Vallecrosia,7965,43.787619,7.634997
900385,Vernazza,8114,44.134963,9.684804
900386,Zoagli,8441,44.33546,9.269126
900387,Bragno,1406,44.371679,8.304473
900388,Genova Cornigliano,3131,44.414752,8.865035
900389,Pietra Ligure,5418,44.145345,8.277403
900390,S. Margherita Ligure Portofino,6878,44.33676,9.216673
900391,Genova Pra,4068,44.426874,8.785356
900392,Genova Sestri Ponente,3131,44.422374,8.847707
900393,Genova Brignole,3131,44.407213,8.947553
900394,Pontetto,756,44.377309,9.07696
900395,Mulinetti,5895,44.362614,9.129499
900396,Chiavari,2099,44.315156,9.322464
900397,Riva Trigoso,1559,44.26391,9.429277
900398,Bonassola,799,44.184867,9.582673
900399,Manarola,5980,44.109904,9.727401
900400,Ferrania,182,44.365136,8.328885
900401,Maschio,5836,44.326605,8.436686
900402,Vezzano Ligure,8167,44.127081,9.88928
900403,Ponzano Magra,6921,44.136227,9.934115
900404,Genova S.Biagio,1978,44.484399,8.900854
900405,Pont,5609,45.420436,7.60442
900406,Dego,2569,44.448003,8.308469
900407,Piana,5373,44.486383,8.308796
900408,Ca` Di Boschetti,3502,44.117925,9.857449
900409,Rocchetta Cairo,2569,44.427477,8.295356
900410,La Spezia Migliarina,3502,44.123391,9.84028
900411,La Spezia Marittima,3502,44.110694,9.837445
900412,Sarzana,6962,44.108865,9.960657
900413,Altare,182,44.336169,8.332753
900414,Arenzano,326,44.403089,8.678322
900415,Bevera,8086,43.825303,7.579157
900416,Quiliano Vado,7891,44.279933,8.435562
900417,Rapallo,5869,44.351398,9.231282
900418,Recco,5895,44.361215,9.146788
900419,Riomaggiore,5980,44.105203,9.729105
900420,Ronco Scr.,6242,44.614537,8.949421
900421,Rossiglione,6274,44.566955,8.668051
900422,San Giuseppe Di Cairo,1406,44.370096,8.28864
900423,Sanremo,6771,43.821269,7.766693
900424,Santuario,5836,44.34607,8.435756
900425,Savona,6992,44.306892,8.470259
900426,Sestri Levante,7158,44.27626,9.397651
900427,S.Silvestro,4331,45.19366,8.148095
900428,Settimo,7168,45.139834,7.769335
900429,Sezzadio,7175,44.800082,8.549772
900430,Chiusano Cossombrone,2127,44.985034,8.128822
900431,Collegno,2279,45.078854,7.574131
900432,Priola,5794,44.248694,8.023429
900433,Rovasenda,6286,45.537291,8.317376
900434,S. Ambrogio,6790,45.101161,7.360933
900435,Isola D`Asti,3451,44.830605,8.175113
900436,Manta,3906,44.620887,7.494166
900437,Torre S.Giorgio,7652,44.737375,7.525461
900438,Tronzano,7827,45.342929,8.168395
900439,Vaprio D`Agogna,8014,45.599085,8.536862
900440,Borgo S.Martino,846,45.087083,8.520661
900441,Cambiano Santena,1182,44.966491,7.773225
900442,Villanova,8294,44.963159,7.947136
900443,Torino Porta Susa,7581,45.075906,7.667673
900444,Marano Ticino,3923,45.629485,8.626172
900445,Meina,4064,45.794389,8.535452
900446,Merana,4094,44.519368,8.298327
900447,Mercenasco,4102,45.353436,7.886405
900448,Villastellone,8330,44.920531,7.749572
900449,Pieve Vergonte,5462,46.009783,8.276298
900450,Borgo San Dalmazzo,842,44.326249,7.486111
900451,Bruzolo,1015,45.131032,7.201497
900452,Casaleggio,1513,45.491298,8.490369
900453,Cassine,1612,44.751513,8.533613
900454,Castelletto Ticino,1737,45.710757,8.638259
900455,Castello D`Annone,1753,44.878742,8.312724
900456,Castellazzo Casalcermelli,1725,44.843839,8.589645
900457,Rovasenda Alta,6286,45.537368,8.316722
900458,Buronzo,1049,45.47179,8.2667
900459,Caluso,1162,45.303194,7.902568
900460,Candia Canavese,1279,45.329824,7.891819
900461,Cavallermaggiore,1901,44.708147,7.692108
900462,Cercenasco,1984,44.864897,7.495302
900463,Roccagrimalda,6052,44.675247,8.656154
900464,San Giacomo,7199,44.687745,8.663185
900465,Torino Dora,7581,45.090085,7.677853
900466,Dormelletto,2626,45.7233,8.581906
900467,Eca Nasago`,1363,44.160769,7.965137
900468,Terzo Montabone,7520,44.671932,8.428705
900469,Torino Lingotto,4784,45.0266,7.657469
900470,Torino S. Paolo,7581,45.054519,7.639557
900471,Torino Smistamento Nord,7581,45.042785,7.666626
900472,Torino Stura,3912,45.121932,7.713202
900473,Tonco Alfiano,7568,45.012659,8.216858
900474,Torino P.Nuova,7581,45.060969,7.67747
900475,Torrazza P.,7628,45.211855,7.970255
900476,Carbonara Scrivia,1401,44.860173,8.853772
900477,Alba,99,44.697713,8.030629
900478,Asti,398,44.89479,8.208112
900479,Bivio Madonna Dell`Olmo,2528,44.414078,7.546234
900480,Beaulard,533,45.046495,6.759713
900481,Morano Sul Po,4624,45.170793,8.366168
900482,Mussotto,99,44.713227,8.015194
900483,Omegna Crusinallo,1504,45.898138,8.413929
900484,Beura Cardezza,694,46.068341,8.289627
900485,Madonna Della Scala,1182,44.993686,7.780994
900486,Torino Orbassano Fascio Sud,606,45.032898,7.576125
900487,Villafranca C.,8269,44.908916,8.043692
900488,Villafranca P.,8273,44.786739,7.510077
900489,Vogogna Ossola,8390,46.005883,8.294664
900490,Monastero Pratavecchi,1053,44.484517,7.44679
900491,Felizzano,2759,44.893367,8.437155
900492,Pogliola,6044,44.399796,7.75057
900493,Pombia,5596,45.649547,8.637037
900494,Pontecurone,5631,44.962014,8.929717
900495,Ponti,5642,44.629979,8.365262
900496,Ponzana,1525,45.402685,8.522689
900497,Portacomaro,5665,44.957169,8.224345
900498,Porto Varallo Pombia,8016,45.677697,8.638383
900499,Solero,7245,44.915886,8.51043
900500,Strambino,7382,45.382508,7.887955
900501,Susa,7415,45.138622,7.052311
900502,Ghislarengo,3200,45.526006,8.379453
900503,Giarole,3208,45.056125,8.5609
900504,Magliano Crava Morozzo,3838,44.445259,7.777852
900505,S. Germano Vercellese,6504,45.353603,8.249958
900506,S.Giorgio Casale,6528,45.101495,8.412858
900507,S.Giuliano Piemonte,4453,44.890543,8.760933
900508,Pocapaglia,5533,44.701066,7.892496
900509,Baveno,599,45.909105,8.502121
900510,Biella Chiavazza,714,45.568084,8.066787
900511,Moretta,4637,44.765514,7.530303
900512,Nibbia,6685,45.481363,8.557993
900513,Nizza Monferrato,4795,44.772905,8.361146
900514,None,4819,44.938011,7.540068
900515,Pc. Meana,4050,45.124481,7.059748
900516,Pertengo,5291,45.233305,8.426739
900517,Piedimulera,5413,46.024348,8.261237
900518,Cuneo Gesso,2528,44.394234,7.556017
900519,Cureggio,2536,45.672538,8.456282
900520,Varallo Pombia,8016,45.670032,8.620047
900521,Varallo Sesia,8015,45.815227,8.256606
900522,Verbania-Pallanza,8092,45.943821,8.47224
900523,Vercelli,8100,45.329909,8.416028
900524,Vergnasco,2024,45.489282,8.091687
900525,Vernante,8111,44.244639,7.535986
900526,Verolengo,8119,45.193107,7.969511
900527,Verzuolo,8154,44.598767,7.48724
900528,Vespolate,8158,45.351517,8.671947
900529,Vicoforte San Michele,6638,44.37404,7.894687
900530,Vigliano Candelo,8207,45.557517,8.108475
900531,Vigliano D`Asti,8208,44.827335,8.218271
900532,Vignale,4835,45.478989,8.613132
900533,Vigone,8221,44.846923,7.491123
900534,Villadossola,8267,46.064151,8.264675
900535,Luserna S. Giovanni,3797,44.815842,7.246902
900536,Maddalene,4399,44.518734,7.648022
900537,Madonna Del Pilone,3942,44.695347,7.747639
900538,Margarita,3946,44.380082,7.685738
900539,Mergozzo,4106,45.961303,8.440881
900540,Pinerolo Olimpica,5477,44.893325,7.349043
900541,Crescentino,2492,45.194302,8.107175
900542,Cressa Fontaneto,2497,45.646331,8.498435
900543,Cuneo,2528,44.387914,7.536235
900544,Cunico Scandeluzza,2529,45.036947,8.11007
900545,Cuzzago,276,45.993682,8.373989
900546,Domodossola,2617,46.115429,8.296684
900547,Domo Ii,694,46.071396,8.286899
900548,Dormelletto Paese,2626,45.730032,8.574324
900549,Dronero,2642,44.464974,7.423245
900550,Exilles,2697,45.08999,6.927344
900551,Fara,2736,45.550556,8.458049
900552,Farigliano,2741,44.513337,7.90947
900553,Nichelino,4784,44.99132,7.642068
900554,Niella,4790,44.415377,7.926365
900555,Novara,4835,45.451376,8.624895
900556,Nucetto,4852,44.338871,8.061386
900557,Olcenengo,4890,45.34147,8.310096
900558,Oleggio,4892,45.598029,8.632586
900559,Omegna,4922,45.87179,8.413291
900560,Ornavasso,4962,45.970296,8.415892
900561,Orta Miasino,4179,45.795865,8.421217
900562,Oulx Cesana Claviere Sestriere,5032,45.038789,6.831432
900563,Oviglio,5035,44.859537,8.494998
900564,Ozzano Monferrato,5042,45.107581,8.372296
900565,Palazzolo Vercellese,5112,45.189004,8.232787
900566,Pallanzeno,5145,46.043533,8.260645
900567,Torre Pellice,7651,44.818929,7.225901
900568,Trappa,3091,44.185375,7.994435
900569,Trinita` Bene Vagienna,7806,44.504656,7.752647
900570,Trino Vercellese,7809,45.190066,8.294093
900571,Trofarello,7821,44.980471,7.735206
900572,Valenza,7933,45.023527,8.625808
900573,Valmadonna,1736,44.972588,8.610667
900574,Livorno Ferraris,3699,45.283402,8.073493
900575,Limone,3673,44.203799,7.577912
900576,Rocchetta Tanaro Cerro,2028,44.875574,8.351402
900577,Rodallo,1162,45.278714,7.878025
900578,Romagnano Sesia,6216,45.629888,8.384581
900579,Rosta,6275,45.078397,7.463963
900580,S.Anna Robella,4601,45.074464,8.08568
900581,S. Antonino Di Saluggia,6393,45.253967,8.039728
900582,S. Antonino Vaie,6820,45.109469,7.275931
900583,S.Benigno Di Cuneo,1967,44.461002,7.572712
900584,S. Damiano D`Asti,6467,44.878914,8.125956
900585,Pessione,6000,44.965132,7.841321
900586,Pettenasco,5357,45.820498,8.406802
900587,Pianfei,5386,44.385228,7.717109
900588,Pievetta,5794,44.257449,8.021744
900589,Pinerolo,5477,44.887673,7.337402
900590,Piscina Di Pinerolo,5507,44.921744,7.425482
